Detected frames in file "D:/Captured Video\2021-09-22 13-09-45.mp4":
Frame 604 occurred 1 times.
Frame 605 occurred 1 times.
Frame 606 occurred 1 times.
Frame 607 occurred 1 times.
Frame 608 occurred 1 times.
Frame 609 occurred 1 times.
Frame 610 occurred 1 times.
Frame 611 occurred 1 times.
Frame 612 occurred 1 times.
Frame 613 occurred 1 times.
Frame 614 occurred 1 times.
Frame 615 occurred 1 times.
Frame 616 occurred 1 times.
Frame 617 occurred 1 times.
Frame 618 occurred 1 times.
Frame 619 occurred 1 times.
Frame 620 occurred 1 times.
Frame 621 occurred 1 times.
Frame 622 occurred 1 times.
Frame 623 occurred 1 times.
Frame 624 occurred 1 times.
Frame 625 occurred 1 times.
Frame 626 occurred 1 times.
Frame 627 occurred 1 times.
Frame 628 occurred 1 times.
Frame 629 occurred 1 times.
Frame 630 occurred 1 times.
Frame 631 occurred 1 times.
Frame 632 occurred 1 times.
Frame 633 occurred 1 times.
Frame 634 occurred 1 times.
Frame 635 occurred 1 times.
Frame 636 occurred 1 times.
Frame 637 occurred 1 times.
Frame 638 occurred 1 times.
Frame 639 occurred 1 times.
Frame 640 occurred 1 times.
Frame 641 occurred 1 times.
Frame 642 occurred 1 times.
Frame 643 occurred 1 times.
Frame 644 occurred 1 times.
Frame 645 occurred 1 times.
Frame 646 occurred 1 times.
Frame 647 occurred 1 times.
Frame 648 occurred 1 times.
Frame 649 occurred 1 times.
Frame 650 occurred 1 times.
Frame 651 occurred 1 times.
Frame 652 occurred 1 times.
Frame 653 occurred 1 times.
Frame 654 occurred 1 times.
Frame 655 occurred 1 times.
Frame 656 occurred 1 times.
Frame 657 occurred 1 times.
Frame 658 occurred 1 times.
Frame 659 occurred 1 times.
Frame 660 occurred 1 times.
Frame 661 occurred 1 times.
Frame 662 occurred 1 times.
Frame 663 occurred 1 times.
Frame 664 occurred 1 times.
Frame 665 occurred 1 times.
Frame 666 occurred 1 times.
Frame 667 occurred 1 times.
Frame 668 occurred 1 times.
Frame 669 occurred 1 times.
Frame 670 occurred 1 times.
Frame 671 occurred 1 times.
Frame 672 occurred 1 times.
Frame 673 occurred 1 times.
Frame 674 occurred 1 times.
Frame 675 occurred 1 times.
Frame 676 occurred 1 times.
Frame 677 occurred 1 times.
Frame 678 occurred 1 times.
Frame 679 occurred 1 times.
Frame 680 occurred 1 times.
Frame 681 occurred 1 times.
Frame 682 occurred 1 times.
Frame 683 occurred 1 times.
Frame 684 occurred 1 times.
